Structure on Masterlist,IUPAC
GlcNAcb1-6(GlcNAcb1-3)Galb1-4GlcNAcb-Sp8,GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-Sp8
GlcNAcb1-3GalNAca-Sp8,GlcNAc(b1-3)GalNAc(a1-Sp8
GlcNAcb1-3GalNAca-Sp14,GlcNAc(b1-3)GalNAc(a1-Sp14
GlcNAcb1-3Galb-Sp8,GlcNAc(b1-3)Gal(b1-Sp8
GlcNAcb1-3Galb1-4GlcNAcb-Sp0,GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0
GlcNAcb1-3Galb1-4GlcNAcb-Sp8,GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp8
GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0
GlcNAcb1-3Galb1-4Glcb-Sp0,GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0
GlcNAcb1-4-MDPLys,GlcNAc(b1-MDPLys
GlcNAcb1-6(GlcNAcb1-4)GalNAca-Sp8,GlcNAc(b1-6)[GlcNAc(b1-4)]GalNAc(a1-Sp8
GlcNAcb1-4Galb1-4GlcNAcb-Sp8,GlcNAc(b1-4)Gal(b1-4)GlcNAc(b1-Sp8
GlcNAcb1-4GlcNAcb1-4GlcNAcb1-4GlcNAcb1-4GlcNAcb1-4GlcNAcb1-Sp8,GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8
GlcNAcb1-4GlcNAcb1-4GlcNAcb1-4GlcNAcb1-4GlcNAcb1-Sp8,GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8
GlcNAcb1-4GlcNAcb1-4GlcNAcb-Sp8,GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8
GlcNAcb1-6GalNAca-Sp8,GlcNAc(b1-6)GalNAc(a1-Sp8
GlcNAcb1-6GalNAca-Sp14,GlcNAc(b1-6)GalNAc(a1-Sp14
GlcNAcb1-6Galb1-4GlcNAcb-Sp8,GlcNAc(b1-6)Gal(b1-4)GlcNAc(b1-Sp8
Glca1-4Glcb-Sp8,Glc(a1-4)Glc(b1-Sp8
Glca1-4Glca-Sp8,Glc(a1-4)Glc(a1-Sp8
Glca1-6Glca1-6Glcb-Sp8,Glc(a1-6)Glc(a1-6)Glc(b1-Sp8
Glcb1-4Glcb-Sp8,Glc(b1-4)Glc(b1-Sp8
Glcb1-6Glcb-Sp8,Glc(b1-6)Glc(b1-Sp8
G-ol-Sp8,G-ol(1-Sp8
GlcAa-Sp8,GlcA(a1-Sp8
GlcAb-Sp8,GlcA(b1-Sp8
GlcAb1-3Galb-Sp8,GlcA(b1-3)Gal(b1-Sp8
GlcAb1-6Galb-Sp8,GlcA(b1-6)Gal(b1-Sp8
KDNa2-3Galb1-3GlcNAcb-Sp0,KDN(a2-3)Gal(b1-3)GlcNAc(b1-Sp0
KDNa2-3Galb1-4GlcNAcb-Sp0,KDN(a2-3)Gal(b1-4)GlcNAc(b1-Sp0
Mana1-2Mana1-2Mana1-3Mana-Sp9,Man(a1-2)Man(a1-2)Man(a1-3)Man(a1-Sp9
Mana1-2Mana1-6(Mana1-2Mana1-3)Mana-Sp9,Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-Sp9
Mana1-2Mana1-3Mana-Sp9,Man(a1-2)Man(a1-3)Man(a1-Sp9
Mana1-6(Mana1-2Mana1-3)Mana1-6(Mana1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12
Mana1-2Mana1-6(Mana1-3)Mana1-6(Mana1-2Mana1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12
Mana1-2Mana1-6(Mana1-2Mana1-3)Mana1-6(Mana1-2Mana1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12
Mana1-6(Mana1-3)Mana-Sp9,Man(a1-6)[Man(a1-3)]Man(a1-Sp9
Mana1-2Mana1-2Mana1-6(Mana1-3)Mana-Sp9,Man(a1-2)Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-Sp9
Mana1-6(Mana1-3)Mana1-6(Mana1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12
Mana1-6(Mana1-3)Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12
Manb1-4GlcNAcb-Sp0,Man(b1-4)GlcNAc(b1-Sp0
Neu5Aca2-3Galb1-4GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
(3S)Galb1-4(Fuca1-3)(6S)GlcNAcb-Sp8 ,(3S)Gal(b1-4)[Fuc(a1-3)](6S)GlcNAc(b1-Sp8
Fuca1-2(6S)Galb1-4GlcNAcb-Sp0,Fuc(a1-2)(6S)Gal(b1-4)GlcNAc(b1-Sp0
Fuca1-2Galb1-4(6S)GlcNAcb-Sp8,Fuc(a1-2)Gal(b1-4)(6S)GlcNAc(b1-Sp8
Fuca1-2(6S)Galb1-4(6S)Glcb-Sp0,Fuc(a1-2)(6S)Gal(b1-4)(6S)Glc(b1-Sp0
Neu5Aca2-3Galb1-3GalNAca-Sp8,Neu5Ac(a2-3)Gal(b1-3)GalNAc(a1-Sp8
Neu5Aca2-3Galb1-3GalNAca-Sp14,Neu5Ac(a2-3)Gal(b1-3)GalNAc(a1-Sp14
GalNAcb1-4(Neu5Aca2-8Neu5Aca2-8Neu5Aca2-8Neu5Aca2-3)Galb1-4Glcb-Sp0,GalNAc(b1-4)[Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0
GalNAcb1-4(Neu5Aca2-8Neu5Aca2-8Neu5Aca2-3)Galb1-4Glcb-Sp0,GalNAc(b1-4)[Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0
Neu5Aca2-8Neu5Aca2-8Neu5Aca2-3Galb1-4Glcb-Sp0,Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp0
GalNAcb1-4(Neu5Aca2-8Neu5Aca2-3)Galb1-4Glcb-Sp0,GalNAc(b1-4)[Neu5Ac(a2-8)Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0
Neu5Aca2-8Neu5Aca2-8Neu5Aca-Sp8,Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a1-Sp8
Neu5Aca2-3(6S)Galb1-4(Fuca1-3)GlcNAcb-Sp8,Neu5Ac(a2-3)(6S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8
GalNAcb1-4(Neu5Aca2-3)Galb1-4GlcNAcb-Sp0,GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)GlcNAc(b1-Sp0
GalNAcb1-4(Neu5Aca2-3)Galb1-4GlcNAcb-Sp8,GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)GlcNAc(b1-Sp8
GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp0,GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0
Neu5Aca2-3Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp0,Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0
Neu5Aca2-6(Neu5Aca2-3)GalNAca-Sp8,Neu5Ac(a2-6)[Neu5Ac(a2-3)]GalNAc(a1-Sp8
Neu5Aca2-3GalNAca-Sp8,Neu5Ac(a2-3)GalNAc(a1-Sp8
Neu5Aca2-3GalNAcb1-4GlcNAcb-Sp0,Neu5Ac(a2-3)GalNAc(b1-4)GlcNAc(b1-Sp0
Neu5Aca2-3Galb1-3(6S)GlcNAc-Sp8,Neu5Ac(a2-3)Gal(b1-3)(6S)GlcNAc(c1-Sp8
Neu5Aca2-3Galb1-3(Fuca1-4)GlcNAcb-Sp8,Neu5Ac(a2-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8
Neu5Aca2-3Galb1-3(Fuca1-4)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,Neu5Ac(a2-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
Neu5Aca2-3Galb1-4(Neu5Aca2-3Galb1-3)GlcNAcb-Sp8,Neu5Ac(a2-3)Gal(b1-4)[Neu5Ac(a2-3)Gal(b1-3)]GlcNAc(b1-Sp8
Neu5Aca2-3Galb1-3(6S)GalNAca-Sp8,Neu5Ac(a2-3)Gal(b1-3)(6S)GalNAc(a1-Sp8
Neu5Aca2-6(Neu5Aca2-3Galb1-3)GalNAca-Sp8,Neu5Ac(a2-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc(a1-Sp8
Neu5Aca2-6(Neu5Aca2-3Galb1-3)GalNAca-Sp14,Neu5Ac(a2-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc(a1-Sp14
Neu5Aca2-3Galb-Sp8,Neu5Ac(a2-3)Gal(b1-Sp8
Neu5Aca2-3Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp0,Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp0
Neu5Aca2-3Galb1-3GlcNAcb1-3Galb1-4GlcNAcb-Sp0,Neu5Ac(a2-3)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0
Fuca1-2(6S)Galb1-4Glcb-Sp0,Fuc(a1-2)(6S)Gal(b1-4)Glc(b1-Sp0
Neu5Aca2-3Galb1-3GlcNAcb-Sp0,Neu5Ac(a2-3)Gal(b1-3)GlcNAc(b1-Sp0
Neu5Aca2-3Galb1-3GlcNAcb-Sp8,Neu5Ac(a2-3)Gal(b1-3)GlcNAc(b1-Sp8
Neu5Aca2-3Galb1-4(6S)GlcNAcb-Sp8,Neu5Ac(a2-3)Gal(b1-4)(6S)GlcNAc(b1-Sp8
Neu5Aca2-3Galb1-4(Fuca1-3)(6S)GlcNAcb-Sp8,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)](6S)GlcNAc(b1-Sp8
Neu5Aca2-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
Neu5Aca2-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
Neu5Aca2-3Galb1-4(Fuca1-3)GlcNAcb-Sp8,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8
Neu5Aca2-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb-Sp8,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-Sp8
Neu5Aca2-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4GlcNAcb-Sp8,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp8
Neu5Aca2-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0
Neu5Aca2-3Galb1-4GlcNAcb-Sp0,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-Sp0
Neu5Aca2-3Galb1-4GlcNAcb-Sp8,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-Sp8
Neu5Aca2-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0
Fuca1-2Galb1-4(6S)Glcb-Sp0,Fuc(a1-2)Gal(b1-4)(6S)Glc(b1-Sp0
Neu5Aca2-3Galb1-4Glcb-Sp0,Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp0
Neu5Aca2-3Galb1-4Glcb-Sp8,Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp8
Neu5Aca2-6GalNAca-Sp8,Neu5Ac(a2-6)GalNAc(a1-Sp8
Neu5Aca2-6GalNAcb1-4GlcNAcb-Sp0,Neu5Ac(a2-6)GalNAc(b1-4)GlcNAc(b1-Sp0
Neu5Aca2-6Galb1-4(6S)GlcNAcb-Sp8,Neu5Ac(a2-6)Gal(b1-4)(6S)GlcNAc(b1-Sp8
Neu5Aca2-6Galb1-4GlcNAcb-Sp0,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-Sp0
Neu5Aca2-6Galb1-4GlcNAcb-Sp8,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-Sp8
Neu5Aca2-6Galb1-4GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
Neu5Aca2-6Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0
Neu5Aca2-6Galb1-4Glcb-Sp0,Neu5Ac(a2-6)Gal(b1-4)Glc(b1-Sp0
Neu5Aca2-6Galb1-4Glcb-Sp8,Neu5Ac(a2-6)Gal(b1-4)Glc(b1-Sp8
Neu5Aca2-6Galb-Sp8,Neu5Ac(a2-6)Gal(b1-Sp8
Neu5Aca2-8Neu5Aca-Sp8,Neu5Ac(a2-8)Neu5Ac(a1-Sp8
Neu5Aca2-8Neu5Aca2-3Galb1-4Glcb-Sp0,Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp0
Galb1-3(Fuca1-4)GlcNAcb1-3Galb1-3(Fuca1-4)GlcNAcb-Sp0,Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp0
Neu5Acb2-6GalNAca-Sp8,Neu5Ac(b2-6)GalNAc(a1-Sp8
Neu5Acb2-6Galb1-4GlcNAcb-Sp8,Neu5Ac(b2-6)Gal(b1-4)GlcNAc(b1-Sp8
Neu5Gca2-3Galb1-3(Fuca1-4)GlcNAcb-Sp0,Neu5Gc(a2-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp0
Neu5Gca2-3Galb1-3GlcNAcb-Sp0,Neu5Gc(a2-3)Gal(b1-3)GlcNAc(b1-Sp0
Neu5Gca2-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,Neu5Gc(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
Neu5Gca2-3Galb1-4GlcNAcb-Sp0,Neu5Gc(a2-3)Gal(b1-4)GlcNAc(b1-Sp0
Neu5Gca2-3Galb1-4Glcb-Sp0,Neu5Gc(a2-3)Gal(b1-4)Glc(b1-Sp0
Neu5Gca2-6GalNAca-Sp0,Neu5Gc(a2-6)GalNAc(a1-Sp0
Neu5Gca2-6Galb1-4GlcNAcb-Sp0,Neu5Gc(a2-6)Gal(b1-4)GlcNAc(b1-Sp0
Neu5Gca-Sp8,Neu5Gc(a1-Sp8
Neu5Aca2-3Galb1-4GlcNAcb1-6(Galb1-3)GalNAca-Sp14,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14
Galb1-3GlcNAcb1-3Galb1-3GlcNAcb-Sp0,Gal(b1-3)GlcNAc(b1-3)Gal(b1-3)GlcNAc(b1-Sp0
Galb1-4(Fuca1-3)(6S)GlcNAcb-Sp0 ,Gal(b1-4)[Fuc(a1-3)](6S)GlcNAc(b1-Sp0
Galb1-4(Fuca1-3)(6S)Glcb-Sp0,Gal(b1-4)[Fuc(a1-3)](6S)Glc(b1-Sp0
Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-3(Fuca1-4)GlcNAcb-Sp0,Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp0
Galb1-4GlcNAcb1-3Galb1-3GlcNAcb-Sp0,Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)GlcNAc(b1-Sp0
Neu5Aca2-3Galb1-3GlcNAcb1-3Galb1-3GlcNAcb-Sp0,Neu5Ac(a2-3)Gal(b1-3)GlcNAc(b1-3)Gal(b1-3)GlcNAc(b1-Sp0
Neu5Aca2-3Galb1-4GlcNAcb1-3Galb1-3GlcNAcb-Sp0,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)GlcNAc(b1-Sp0
4S(3S)Galb1-4GlcNAcb-Sp0,4S(3S)Gal(b1-4)GlcNAc(b1-Sp0
(6S)Galb1-4(6S)GlcNAcb-Sp0,(6S)Gal(b1-4)(6S)GlcNAc(b1-Sp0
(6P)Glcb-Sp10,(6P)Glc(b1-Sp10
Neu5Aca2-3Galb1-4(Fuca1-3)GlcNAcb1-6(Galb1-3)GalNAca-Sp14,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14
Galb1-3Galb1-4GlcNAcb-Sp8,Gal(b1-3)Gal(b1-4)GlcNAc(b1-Sp8
Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12
Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)Galb1-4GlcNAc-Sp0,Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-Sp0
GlcNAcb1-6(Galb1-4GlcNAcb1-3)Galb1-4GlcNAc-Sp0,GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-Sp0
Galb1-4GlcNAca1-6Galb1-4GlcNAcb-Sp0,Gal(b1-4)GlcNAc(a1-6)Gal(b1-4)GlcNAc(b1-Sp0
Galb1-4GlcNAcb1-6Galb1-4GlcNAcb-Sp0,Gal(b1-4)GlcNAc(b1-6)Gal(b1-4)GlcNAc(b1-Sp0
GalNAcb1-3Galb-Sp8,GalNAc(b1-3)Gal(b1-Sp8
GlcAb1-3GlcNAcb-Sp8,GlcA(b1-3)GlcNAc(b1-Sp8
Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12
GlcNAcb1-3Man-Sp10,GlcNAc(b1-3)Man(b1-Sp10
GlcNAcb1-4GlcNAcb-Sp10,GlcNAc(b1-4)GlcNAc(b1-Sp10
GlcNAcb1-4GlcNAcb-Sp12,GlcNAc(b1-4)GlcNAc(b1-Sp12
MurNAcb1-4GlcNAcb-Sp10,MurNAc(b1-4)GlcNAc(b1-Sp10
Mana1-6Manb-Sp10,Man(a1-6)Man(b1-Sp10
Mana1-6(Mana1-3)Mana1-6(Mana1-3)Manb-Sp10,Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-3)]Man(b1-Sp10
Mana1-2Mana1-6(Mana1-3)Mana1-6(Mana1-2Mana1-2Mana1-3)Mana-Sp9,Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(a1-Sp9
Mana1-2Mana1-6(Mana1-2Mana1-3)Mana1-6(Mana1-2Mana1-2Mana1-3)Mana-Sp9,Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(a1-Sp9
Neu5Aca2-3Galb1-4GlcNAcb1-6(Neu5Aca2-3Galb1-3)GalNAca-Sp14,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc(a1-Sp14
Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12
Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12
GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12
Neu5Aca2-8Neu5Acb-Sp17,Neu5Ac(a2-8)Neu5Ac(b1-Sp17
Neu5Aca2-8Neu5Aca2-8Neu5Acb-Sp8,Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(b1-Sp8
Neu5Gcb2-6Galb1-4GlcNAc-Sp8,Neu5Gc(b2-6)Gal(b1-4)GlcNAc(b1-Sp8
Galb1-3GlcNAcb1-2Mana1-6(Galb1-3GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp19,Gal(b1-3)GlcNAc(b1-2)Man(a1-6)[Gal(b1-3)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp19
