Mod,totalEN,totalStd,Glytoucan,Order,Mod2,IUPAC,CommonName2,x_label
3'SLN,0.4840033033539064,0.10662626735567816,G04307DP-[NA],0,3'SLN-[NA],Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-Sp-[NA],3'SLN-[NA],3'SLN-[NA]
6'SLN,0.5994236598847149,0.3331341693708001,G73578JC-[NA],0,6'SLN-[NA],Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-Sp-[NA],6'SLN-[NA],6'SLN-[NA]
D11,2.1175016471780137,0.9621136290866058,G97763JB-[NA],0,D11-[NA],Gal(b1-3)GalNAc(a1-Thr-[NA],TF-[NA],D11-[NA]
D14,3.1586266191020527,1.0461856217174188,G36123IU-[NA],0,D14-[NA],Neu5Ac(a2-6)GalNAc(a1-Thr-[NA],STn-[NA],D14-[NA]
D21,0.7016757682726948,0.09979437412860968,G33129LQ-[NA],0,D21-[NA],GalNAc(b1-4)GlcNAc(b1-Sp-[NA],D21-[NA],D21-[NA]
D8,1.3956926943877581,0.2365389909926499,G16384KS-[NA],0,D8-[NA],Gal(b1-3)GlcNAc(b1-Sp-[NA],Lec-[NA],D8-[NA]
D9,0.693500817658464,0.4049751547029669,G94144EF-[NA],0,D9-[NA],Gal(b1-4)Glc(b1-Sp-[NA],"Lac, L-[NA]",D9-[NA]
Di-N3,0.3405648999146597,0.23476648990211982,G00068MO-[NA],0,Di-N3-[NA],Fuc(a1-2)Gal(b1-Sp-[NA],Di-N3-[NA],Di-N3-[NA]
galf,0.29865604539285784,0.11141984047421381,NA-[NA],0,galf-[NA],NANA-[NA],NA-[NA],galf-[NA]
galf-di,0.855986078461857,0.37368197760999616,NA-[NA],0,galf-di-[NA],NANA-[NA],NA-[NA],galf-di-[NA]
galf-tri,1.1832268492454001,0.2572864416892343,NA-[NA],0,galf-tri-[NA],NANA-[NA],NA-[NA],galf-tri-[NA]
galf4_low,0.9518363557930829,0.18566420461176486,G92890KE-[NA],0,galf4_low-[NA],Galf(b1-5)Galf(b1-5)Galf(b1-5)Galf(b1-S8-[NA],Tetra-Galf-[NA],galf4_low-[NA]
galf4_mid,1.0611060155319507,0.06214422953455362,G92890KE-[NA],0,galf4_mid-[NA],Galf(b1-5)Galf(b1-5)Galf(b1-5)Galf(b1-S8-[NA],Tetra-Galf-[NA],galf4_mid-[NA]
galf4-high,0.9633543245251887,0.027074644270322384,G92890KE-[NA],0,galf4-high-[NA],Galf(b1-5)Galf(b1-5)Galf(b1-5)Galf(b1-S8-[NA],Tetra-Galf-[NA],galf4-high-[NA]
Lac_mid,0.8849547334349098,0.19744273496416165,NA-[NA],0,Lac_mid-[NA],NANA-[NA],NA-[NA],Lac_mid-[NA]
Man_high1,0.8191877818216456,0.320794963258392,NA-[NA],0,Man_high1-[NA],NANA-[NA],NA-[NA],Man_high1-[NA]
Man_high2,0.6933027729360012,0.2906901574364911,NA-[NA],0,Man_high2-[NA],NANA-[NA],NA-[NA],Man_high2-[NA]
Man_low,0,0,NA-[NA],0,Man_low-[NA],NANA-[NA],NA-[NA],Man_low-[NA]
Man_mid,0.5079049551754514,0.0667901087806574,NA-[NA],0,Man_mid-[NA],NANA-[NA],NA-[NA],Man_mid-[NA]
PZ-10048,1.0350760793656713,0.1404074311137289,G19165TD-[NA],0,PZ-10048-[NA],Man(a1-S6-[NA],Mana-[NA],PZ-10048-[NA]
PZ-5080,0.5553634186669816,0.2864685428865232,G94144EF-[NA],0,PZ-5080-[NA],Gal(b1-4)Glc(b1-p4-[NA],"Lac, L-[NA]",PZ-5080-[NA]
PZ-8015,1.1119365387529723,0.1945776196722492,G80926OA-[NA],0,PZ-8015-[NA],Man(a1-6)[Man(a1-3)]Man(a1-s6-[NA],Tri-Man-[NA],PZ-8015-[NA]
Te100,1.6836037430311939,0.6766185152649727,G46055MA-[NA],0,Te100-[NA],Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp-[NA],Tri-LN-[NA],Te100-[NA]
Te101,0.606757332478866,0.3361100196592022,G79535HZ-[NA],0,Te101-[NA],Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp-[NA],Di-Lex-[NA],Te101-[NA]
Te102,0.701478747481523,0.2997957313940869,G57884AX-[NA],0,Te102-[NA],Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp-[NA],Tri-Lex-[NA],Te102-[NA]
Te118,2.614993861491985,3.702231392385469,G35534DU-[NA],0,Te118-[NA],Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp-[NA],Ley-[NA],Te118-[NA]
Te119,0.8830792991987566,0.185454294969466,G35228ZS-[NA],0,Te119-[NA],Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)[GalNAc(b1-4)]Gal(b1-4)Glc(b1-Sp-[NA],GT2-[NA],Te119-[NA]
Te140,1.8251755139569041,0.6018895010280839,G19619KS-[NA],0,Te140-[NA],Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp1-[NA],3'S-Di-Lex-[NA],Te140-[NA]
Te193,0.7923416374705674,0.14614152381892698,G70868ZC-[NA],0,Te193-[NA],Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp-[NA],Te193-[NA],Te193-[NA]
Te201,0.6642626824941904,0.1445795439893289,G41052GC-[NA],0,Te201-[NA],Neu5Ac(a2-3)[GalNAc(b1-4)]Gal(b1-4)GlcNAc(b1-Sp-[NA],CT/Sda-[NA],Te201-[NA]
Te212,1.214231524132757,0.2946209356562762,G74917JX-[NA],0,Te212-[NA],Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp-[NA],Ley -Lex-[NA],Te212-[NA]
Te221,2.1977716681525234,0.670544729312427,G86393KI-[NA],0,Te221-[NA],Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp-[NA],Gala3Lex-[NA],Te221-[NA]
Te222,1.839117240088846,0.25701381837372084,G86393KI-[NA],0,Te222-[NA],Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp-[NA],A tetra type 2-[NA],Te222-[NA]
Te223,3.1979514116564087,0.7901849285039275,G45802NQ-[NA],0,Te223-[NA],Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp-[NA],B tetra type 2-[NA],Te223-[NA]
Te224,1.5625875759891303,0.6030050590956407,G19524AS-[NA],0,Te224-[NA],GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp-[NA],A tetra L-[NA],Te224-[NA]
Te262,2.2441108118622513,1.8864306697303146,G04624DG-[NA],0,Te262-[NA],Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp-[NA],2'F-B type 2-[NA],Te262-[NA]
Te271,2.356371622590352,0.752352423296125,G09681LD-[NA],0,Te271-[NA],Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp-[NA],LNT-[NA],Te271-[NA]
Te286,0.7857589980672096,0.329120091481187,G69522TI-[NA],0,Te286-[NA],Gal(b1-3)GlcNac(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNac(b1-Sp-[NA],Lec-LeX-[NA],Te286-[NA]
Te288,2.798723129122079,0.4503296489667752,G78959US-[NA],0,Te288-[NA],Neu5Ac(a2-3)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp-[NA],3'SLecLN-[NA],Te288-[NA]
Te291,1.0613488117486736,0.16702321999341208,G32254QI-[NA],0,Te291-[NA],Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp-[NA],SSEA-4-[NA],Te291-[NA]
Te302,1.2182448343087386,0.12617841619523218,G28005AF-[NA],0,Te302-[NA],Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp-[NA],P1 penta-[NA],Te302-[NA]
Te303,0.6499287610682906,0.0933931696674158,G21404QI-[NA],0,Te303-[NA],Neu5Ac(a2-3)[Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-4)]Gal(b1-4)Glc(b1-Sp-[NA],GD1a-[NA],Te303-[NA]
Te305,0.6130556288232915,0.24477734496920625,not registered-[NA],0,Te305-[NA],Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp-[NA],Te305-[NA],Te305-[NA]
Te306,0.5949224010492967,0.1335992386673524,G69728IZ-[NA],0,Te306-[NA],Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)[GalNAc(b1-4)]Gal(b1-4)Glc(b1-Sp-[NA],GQ2-[NA],Te306-[NA]
Te64,1.3460360537157992,1.0245488069390578,G55692SC-[NA],0,Te64-[NA],Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp-[NA],3'SLex-[NA],Te64-[NA]
Te72,0.9653383770381552,0.08321113861526833,G14139DE-[NA],0,Te72-[NA],Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp-[NA],LNnT-[NA],Te72-[NA]
Te79,3.860504262717951,3.1566527165777543,G07249ZL-[NA],0,Te79-[NA],Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp-[NA],GD3-[NA],Te79-[NA]
Te99,0,0,G73480MV-[NA],0,Te99-[NA],GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp-[NA],3'GN-Di-LN-[NA],Te99-[NA]
Tr116,0.7159117360384809,0.327036778895099,G43418EX-[NA],0,Tr116-[NA],Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp-[NA],H-type1-[NA],Tr116-[NA]
Tr268,0,0,G44455RJ-[NA],0,Tr268-[NA],Neu5Ac(a2-3)GalNAc(b1-4)GlcNAc(b1-Sp-[NA],Tr268-[NA],Tr268-[NA]
Tr269,0.7865244172250674,0.09312114502730655,G54118CT-[NA],0,Tr269-[NA],Neu5Ac(a2-6)GalNAc(b1-4)GlcNAc(b1-Sp-[NA],6'SLDN-[NA],Tr269-[NA]
Tr32,0.9514292863392249,0.21902191116871883,G91237TK-[NA],0,Tr32-[NA],Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp-[NA],GM3-[NA],Tr32-[NA]
Tr322,0.8055151320944218,0.03949321692103444,G63851XY-[NA],0,Tr322-[NA],"Neu5,9Ac(a2-3)Gal(b1-4)GlcNAc(b1-Sp-[NA]",9OAc3'SLN-[NA],Tr322-[NA]
Tr33,0.8508841171233903,0.10411172793795796,G04307DP-[NA],0,Tr33-[NA],Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-Sp-[NA],3'SLN-[NA],Tr33-[NA]
Tr38,5.112156931394122,4.492716459206835,G56682BC-[NA],0,Tr38-[NA],Gal(b1-3)[Neu5Ac(a2-6)]GalNAc(a1-Thr-[NA],6'STF-[NA],Tr38-[NA]
Tr40,0.9585891115199547,0.572866874809876,G08169IN-[NA],0,Tr40-[NA],Neu5Gc(a2-3)Gal(b1-4)GlcNAc(b1-Sp-[NA],3'SLN (Gc)-[NA],Tr40-[NA]
Tr41,1.5250660230861748,0.24637245875100885,G01245TU-[NA],0,Tr41-[NA],Neu5Gc(a2-3)Gal(b1-3)GlcNAc(b1-Sp-[NA],3'SLec (Gc)-[NA],Tr41-[NA]
Tr47,0.9506389262126735,0.22512944085002748,G61010HE-[NA],0,Tr47-[NA],KDN(a2-3)Gal(b1-4)GlcNAc(b1-Sp-[NA],3'KDNLN-[NA],Tr47-[NA]
Tr54,0.8680161641475708,0.48956293348666036,G64979HM-[NA],0,Tr54-[NA],GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp-[NA],LNT-2-[NA],Tr54-[NA]
Tr55,2.366094703491324,0.660610444909272,G29487JS-[NA],0,Tr55-[NA],GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp-[NA],GNLN-[NA],Tr55-[NA]
Tr57,4.365855707502977,1.9566906291803878,G39023AU-[NA],0,Tr57-[NA],Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp-[NA],LeA-[NA],Tr57-[NA]
Tr59,0.847157339644123,0.6525234884455597,G78074HX-[NA],0,Tr59-[NA],Gal(a1-3)Gal(b1-4)Glc(b1-Sp-[NA],Galili-tri-[NA],Tr59-[NA]
Tr62,2.750296486231875,1.9240445811861315,G00076PK-[NA],0,Tr62-[NA],Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp-[NA],P1 tri-[NA],Tr62-[NA]
Tri-AN3,0.8600967463063458,0.25570280233648246,G34704BH-[NA],0,Tri-AN3-[NA],GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp-[NA],Tri-AN3-[NA],Tri-AN3-[NA]
Tri-BN3,0.8507529797397547,0.22561571753046156,G47548GA-[NA],0,Tri-BN3-[NA],Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp-[NA],Tri-BN3-[NA],Tri-BN3-[NA]
Ty-176,0.797725772850889,0.11200648520249863,G65889KE-[NA],0,Ty-176-[NA],Gal(b1-P4-[NA],Gal-[NA],Ty-176-[NA]
Te272,0,0,G24499XE-[NA],0,Te272-[NA],GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp-[NA],Te272-[NA],Te272-[NA]
Te289,0,0,G29548YX-[NA],0,Te289-[NA],GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp-[NA],P1 tetra-[NA],Te289-[NA]
